State,Category
Alaska,"Automatic relief+
(21, D.C.)"
California,"Automatic relief+
(21, D.C.)"
Colorado,"Automatic relief+
(21, D.C.)"
Connecticut,"Automatic relief+
(21, D.C.)"
Delaware,"Automatic relief+
(21, D.C.)"
D.C,"Automatic relief+
(21, D.C.)"
Indiana,"Automatic relief+
(21, D.C.)"
Kentucky,"Automatic relief+
(21, D.C.)"
Maryland,"Automatic relief+
(21, D.C.)"
Michigan,"Automatic relief+
(21, D.C.)"
Minnesota,"Automatic relief+
(21, D.C.)"
Nebraska,"Automatic relief+
(21, D.C.)"
New Hampshire,"Automatic relief+
(21, D.C.)"
New Jersey,"Automatic relief+
(21, D.C.)"
New York,"Automatic relief+
(21, D.C.)"
North Carolina,"Automatic relief+
(21, D.C.)"
Oklahoma,"Automatic relief+
(21, D.C.)"
Pennsylvania,"Automatic relief+
(21, D.C.)"
South Carolina,"Automatic relief+
(21, D.C.)"
Utah,"Automatic relief+
(21, D.C.)"
Vermont,"Automatic relief+
(21, D.C.)"
Virginia,"Automatic relief+
(21, D.C.)"
Hawaii,Mandatory relief upon request (9)
Idaho,Mandatory relief upon request (9)
Louisiana,Mandatory relief upon request (9)
Mississippi,Mandatory relief upon request (9)
New Mexico,Mandatory relief upon request (9)
Rhode Island,Mandatory relief upon request (9)
Tennessee,Mandatory relief upon request (9)
Texas,Mandatory relief upon request (9)
Wyoming,Mandatory relief upon request (9)
Alabama,"Discretionary relief (less burdensome/
restrictive)
(9)"
Arizona,"Discretionary relief (less burdensome/
restrictive)
(9)"
Arkansas,"Discretionary relief (less burdensome/
restrictive)
(9)"
Georgia,"Discretionary relief (less burdensome/
restrictive)
(9)"
Illinois,"Discretionary relief (less burdensome/
restrictive)
(9)"
Massachusetts,"Discretionary relief (less burdensome/
restrictive)
(9)"
Nevada,"Discretionary relief (less burdensome/
restrictive)
(9)"
Ohio,"Discretionary relief (less burdensome/
restrictive)
(9)"
Oregon,"Discretionary relief (less burdensome/
restrictive)
(9)"
Florida,"Discretionary relief
(more burdensome/ restrictive)*
(8)"
Iowa,"Discretionary relief
(more burdensome/ restrictive)*
(8)"
Kansas,"Discretionary relief
(more burdensome/ restrictive)*
(8)"
Missouri,"Discretionary relief
(more burdensome/ restrictive)*
(8)"
North Dakota,"Discretionary relief
(more burdensome/ restrictive)*
(8)"
South Dakota,"Discretionary relief
(more burdensome/ restrictive)*
(8)"
Washington,"Discretionary relief
(more burdensome/ restrictive)*
(8)"
West Virginia,"Discretionary relief
(more burdensome/ restrictive)*
(8)"
Federal,"N/A
(3, federal)"
Maine,"N/A
(3, federal)"
Montana,"N/A
(3, federal)"
Wisconsin,"N/A
(3, federal)"
